2022-01-21 12:12:41 MSK,This is annoying  https://t.co/KAkDl29CTX, -0.8
2022-01-21 10:14:08 MSK,"@WholeMarsBlog @Reuters This is a hard thing for us to do right now, as we don’t have enough satellites with laser links and there are already geo sats that serve the Tonga region. That is why I’m asking for clear confirmation.", 0.023511904761904758
2022-01-21 10:08:35 MSK,"@matthew_kerle @WholeMarsBlog @CodingMark Yeah, this saves a whole tap. Just swipe down for auto navigate.", 0.022222222222222213
2022-01-21 10:06:40 MSK,@Reuters Could people from Tonga let us know if it is important for SpaceX to send over Starlink terminals?, 0.4
2022-01-21 09:28:31 MSK,@thetweethaver wtf, -0.5
2022-01-21 08:45:03 MSK,@teslaownersSV An SUV that is faster than a Formula 1 race car  https://t.co/43YJpFDGpf, 0.0
2022-01-21 07:25:56 MSK,@Rainmaker1973 @supriyasahuias Baby X is just like this haha, 0.2
2022-01-21 03:28:26 MSK,@Nitzao @bevedoni Most people have no idea, 0.5
2022-01-20 11:28:07 MSK,@BLKMDL3 Yeah, 0.0
2022-01-20 06:57:33 MSK,Maybe something like this  https://t.co/PUBLdaewt8, 0.0
2022-01-20 06:45:25 MSK, https://t.co/rTlxHR4zi1, 0.0
2022-01-20 06:17:49 MSK,Frank &amp; Beans  https://t.co/xJfuW6HKs4, 0.0
2022-01-20 00:01:55 MSK,@blueskykites @Grimezsz @WholeMarsBlog @SpaceXMR @musky_meme @CovelloMassimo @SpaceX @Kristennetten @EliBurton_ @Erdayastronaut @28delayslater @TeslaAndDoge @bevedoni @TeslaHype @OwenSparks_ @RationalEtienne It’s true – I do think a lot about rocket engine chamber pressure ahaha, 0.35
2022-01-19 21:27:20 MSK,@hiromichimizuno Same, 0.0
2022-01-19 20:12:38 MSK,@sdteslaowners @Alandbru Ok, 0.5
2022-01-19 20:11:23 MSK,@nichegamer But is he playing it on Legendary difficulty?, 1.0
2022-01-19 13:01:17 MSK,@stevenmarkryan Will do our best. Decentralized control of the robots will be critical., 0.5
