name; country; genre; rating
Пробуждение; США; драма, биография; 8.2
Тренер Картер; США, Германия; биография, спорт; 8.2
Один дома 2: Затерянный в Нью-Йорке; США; комедия, семейный; 8.2
Хоббит: Пустошь Смауга; Новая Зеландия, США; фэнтези, приключения; 8.2
Железный человек; США, Канада; фантастика, боевик; 8.2
Человек-паук: Через вселенные; США; мультфильм, фантастика; 8.2
Эрнест и Селестина: Приключения мышки и медведя; Франция, Бельгия; мультфильм, фэнтези; 8.2
Невероятный мир глазами Энцо; США; драма, мелодрама; 8.2
Спирит: Душа прерий; США; мультфильм, драма; 8.2
Мой сосед Тоторо; Япония; аниме, мультфильм; 8.2
Вторая жизнь Уве; Швеция; драма, мелодрама; 8.1
Король говорит!; Великобритания, США; драма, биография; 8.1
Форма голоса; Япония; аниме, мультфильм; 8.1
Белый Бим Черное ухо; СССР; драма; 8.1
Спасти рядового Райана; США; военный, драма; 8.1
Хороший, плохой, злой; Италия, Испания; приключения, вестерн; 8.1
Крестный отец 2; США; драма, криминал; 8.1
Звёздные войны: Эпизод 5 – Империя наносит ответный удар; США, Великобритания; фантастика, боевик; 8.1
Мемуары гейши; Франция, Япония; драма, мелодрама; 8.1
Изгой; США; драма, мелодрама; 8.1
Мадагаскар; США; мультфильм, комедия; 8.1
Балто; США, Великобритания; мультфильм, драма; 8.1
Хоббит: Битва пяти воинств; Новая Зеландия, США; фэнтези, приключения; 8.1
Пираты Карибского моря: На краю света; США; приключения, боевик; 8.1
Бесславные ублюдки; США, Германия; боевик, драма; 8.1
Добро пожаловать, или Посторонним вход воспрещен; СССР; комедия, семейный; 8.1
Мстители: Война бесконечности; США; фантастика, боевик; 8.1
Загадочная история Бенджамина Баттона; США; драма, фэнтези; 8.1
Как приручить дракона; США; мультфильм, фэнтези; 8.1
Тот самый Мюнхгаузен; СССР; фэнтези, драма; 8.1
Таксист; Корея Южная; история, драма; 8.1
Шерлок Холмс и доктор Ватсон: Сокровища Агры; СССР; мелодрама, криминал; 8.1
Райя и последний дракон; США; мультфильм, фэнтези; 8.1
Стражи Галактики; США; фантастика, боевик; 8.1
Прислуга; США; драма; 8.1
Война; Россия; боевик, драма; 8.1
Летят журавли; СССР; военный, мелодрама; 8.1
Легенда о волках; Ирландия, Люксембург; мультфильм, фэнтези; 8.1
12 стульев; СССР; комедия, приключения; 8.1
Мимино; СССР; драма, комедия; 8.1
Человек дождя; США; драма; 8.1
Аватар; США, Великобритания; фантастика, боевик; 8.1
Мальчик в полосатой пижаме; Великобритания, США; драма, военный; 8.1
Славные парни; США; драма, криминал; 8.1
Отель «Гранд Будапешт»; США, Германия; комедия, приключения; 8.1
Достать ножи; США; детектив, комедия; 8.1
В поисках Немо; США; мультфильм, комедия; 8.1
Гордость и предубеждение; Великобритания, Франция; драма, мелодрама; 8.1
Красавица и чудовище; США; мультфильм, мюзикл; 8.1
Люди в черном; США; фантастика, боевик; 8.1
Берегись автомобиля; СССР; криминал, комедия; 8.1
Троя; США, Мальта; боевик, история; 8.1
Такси; Франция; боевик, комедия; 8.1
Звёздные войны: Эпизод 6 – Возвращение Джедая; США, Великобритания; фантастика, боевик; 8.1
Гарри Поттер и Кубок огня; Великобритания, США; фэнтези, приключения; 8.1
Звёздные войны: Эпизод 4 – Новая надежда; США, Великобритания; фантастика, боевик; 8.1
Счастливое число Слевина; США, Канада; триллер, драма; 8.1
Дело храбрых; США; боевик, драма; 8.1
История игрушек; США; мультфильм, фэнтези; 8.1
Вам и не снилось...; СССР; драма, мелодрама; 8.1
Анастасия; США; мультфильм, мюзикл; 8.1
Ледниковый период; США; мультфильм, фэнтези; 8.1
Далласский клуб покупателей; США; драма, биография; 8.1
Блеф; Италия; комедия, криминал; 8.1
Профессионал; Франция; боевик, триллер; 8.1
Остров собак; США, Германия; мультфильм, фантастика; 8.1
Доктор Лиза; Россия; драма, биография; 8.1
Дурак; Россия; драма; 8.1
Военный ныряльщик; США; драма, биография; 8.1
Иди и смотри; СССР; драма, военный; 8.1
Человек-паук; США; фантастика, боевик; 8.1
Труп невесты; США, Великобритания; мультфильм, мюзикл; 8.1
Дом у озера; США; фэнтези, драма; 8.1
Индиана Джонс и последний крестовый поход; США; приключения, боевик; 8.1
Заплати другому; США; драма; 8.1
Рок-н-рольщик; Великобритания, США; криминал, боевик; 8.1
Шерлок Холмс и доктор Ватсон: Кровавая надпись; СССР; криминал, детектив; 8.1
Привидение; США; мелодрама, фэнтези; 8.1
Три билборда на границе Эббинга, Миссури; Великобритания, США; драма, криминал; 8.0
Гарри Поттер и Принц-полукровка; Великобритания; фэнтези, приключения; 8.0
Богемская рапсодия; Великобритания, США; биография, музыка; 8.0
Знакомьтесь, Джо Блэк; США; мелодрама, фэнтези; 8.0
Линкольн для адвоката; США; криминал, триллер; 8.0
Однажды в Америке; Италия, США; драма, криминал; 8.0
Догвилль; Дания, Нидерланды; триллер, драма; 8.0
